grid_id,date,event1_num,event2_num,event3_num,event4_num
0,2019-01-01,0,0,0,0
0,2019-02-01,0,0,0,0
0,2019-03-01,0,0,0,0
0,2019-04-01,0,0,0,0
0,2019-05-01,0,0,0,0
0,2019-06-01,0,0,0,0
0,2019-07-01,0,0,0,0
0,2019-08-01,0,0,0,0
0,2019-09-01,0,0,0,0
0,2019-10-01,0,0,0,0
0,2019-11-01,0,0,0,0
0,2019-12-01,0,0,0,0
1,2019-01-01,0,0,0,0
1,2019-02-01,0,0,0,0
1,2019-03-01,0,0,0,0
1,2019-04-01,0,0,0,0
1,2019-05-01,0,0,0,0
1,2019-06-01,0,0,0,0
1,2019-07-01,0,0,0,0
1,2019-08-01,0,0,0,0
1,2019-09-01,0,0,0,0
1,2019-10-01,0,0,0,0
1,2019-11-01,0,0,0,0
1,2019-12-01,0,0,0,0
2,2019-01-01,0,0,0,0
2,2019-02-01,0,0,0,0
2,2019-03-01,0,0,0,0
2,2019-04-01,0,0,0,0
2,2019-05-01,0,0,0,0
2,2019-06-01,0,0,0,0
2,2019-07-01,0,0,0,0
2,2019-08-01,0,0,0,0
2,2019-09-01,0,0,0,0
2,2019-10-01,0,0,0,0
2,2019-11-01,0,0,0,0
2,2019-12-01,0,0,0,0
3,2019-01-01,0,0,0,0
3,2019-02-01,0,0,0,0
3,2019-03-01,0,0,0,0
3,2019-04-01,0,0,0,0
3,2019-05-01,0,0,0,0
3,2019-06-01,0,0,0,0
3,2019-07-01,0,0,0,0
3,2019-08-01,0,0,0,0
3,2019-09-01,0,0,0,0
3,2019-10-01,0,0,0,0
3,2019-11-01,0,0,0,0
3,2019-12-01,0,0,0,0
4,2019-01-01,0,0,0,0
4,2019-02-01,0,0,0,0
4,2019-03-01,0,0,0,0
4,2019-04-01,0,0,0,0
4,2019-05-01,0,0,0,0
4,2019-06-01,0,0,0,0
4,2019-07-01,0,0,0,0
4,2019-08-01,0,0,0,0
4,2019-09-01,0,0,0,0
4,2019-10-01,0,0,0,0
4,2019-11-01,0,0,0,0
4,2019-12-01,0,0,0,0
5,2019-01-01,0,0,0,0
5,2019-02-01,0,0,0,0
5,2019-03-01,0,0,0,0
5,2019-04-01,0,0,0,0
5,2019-05-01,0,0,0,0
5,2019-06-01,0,0,0,0
5,2019-07-01,0,0,0,0
5,2019-08-01,0,0,0,0
5,2019-09-01,0,0,0,0
5,2019-10-01,0,0,0,0
5,2019-11-01,0,0,0,0
5,2019-12-01,0,0,0,0
6,2019-01-01,0,0,0,0
6,2019-02-01,0,0,0,0
6,2019-03-01,0,0,0,0
6,2019-04-01,0,0,0,0
6,2019-05-01,0,0,0,0
